date,createdAt,timestamp,context,value
2023-11-23 20:34:10.172000-05:00,1700789650172,1700789650172,{},22.0
2023-11-23 20:34:06.669000-05:00,1700789646669,1700789646669,{},22.0
2023-11-23 20:34:03.174000-05:00,1700789643174,1700789643174,{},21.75
2023-11-23 20:33:59.662000-05:00,1700789639662,1700789639662,{},22.0
2023-11-23 20:33:56.173000-05:00,1700789636173,1700789636173,{},21.75
2023-11-23 20:33:52.652000-05:00,1700789632652,1700789632652,{},21.75
2023-11-23 20:33:49.152000-05:00,1700789629152,1700789629152,{},21.75
2023-11-23 20:33:45.645000-05:00,1700789625645,1700789625645,{},21.75
2023-11-23 20:33:42.145000-05:00,1700789622145,1700789622145,{},22.0
2023-11-23 20:33:38.635000-05:00,1700789618635,1700789618635,{},21.5
2023-11-23 20:33:35.134000-05:00,1700789615134,1700789615134,{},22.0
2023-11-23 20:33:31.631000-05:00,1700789611631,1700789611631,{},21.75
2023-11-23 20:33:28.122000-05:00,1700789608122,1700789608122,{},21.5
2023-11-23 20:33:24.621000-05:00,1700789604621,1700789604621,{},22.0
2023-11-23 20:33:21.114000-05:00,1700789601114,1700789601114,{},22.0
2023-11-23 20:33:17.618000-05:00,1700789597618,1700789597618,{},22.0
2023-11-23 20:33:14.115000-05:00,1700789594115,1700789594115,{},22.0
2023-11-23 20:33:10.609000-05:00,1700789590609,1700789590609,{},22.0
2023-11-23 20:33:07.098000-05:00,1700789587098,1700789587098,{},22.0
2023-11-23 20:33:03.598000-05:00,1700789583598,1700789583598,{},22.0
2023-11-23 20:33:00.091000-05:00,1700789580091,1700789580091,{},22.0
2023-11-23 20:32:56.588000-05:00,1700789576588,1700789576588,{},21.5
2023-11-23 20:32:53.083000-05:00,1700789573083,1700789573083,{},22.0
2023-11-23 20:32:46.078000-05:00,1700789566078,1700789566078,{},21.25
2023-11-23 20:32:43.171000-05:00,1700789563171,1700789563171,{},21.75
2023-11-23 20:32:42.908000-05:00,1700789562908,1700789562908,{},22.0
2023-11-23 20:32:32.063000-05:00,1700789552063,1700789552063,{},21.75
2023-11-23 20:32:28.558000-05:00,1700789548558,1700789548558,{},22.0
2023-11-23 20:32:25.054000-05:00,1700789545054,1700789545054,{},22.0
2023-11-23 20:32:21.557000-05:00,1700789541557,1700789541557,{},22.0
2023-11-23 20:32:18.049000-05:00,1700789538049,1700789538049,{},22.0
2023-11-23 20:32:14.554000-05:00,1700789534554,1700789534554,{},22.0
2023-11-23 20:32:11.094000-05:00,1700789531094,1700789531094,{},21.75
2023-11-23 20:32:07.537000-05:00,1700789527537,1700789527537,{},22.0
2023-11-23 20:32:04.034000-05:00,1700789524034,1700789524034,{},21.75
